Time,Temperature
1022,-2.1188672
1023,-0.36925444
1024,0.34040555
1025,0.052776918
1026,0.497868
1027,0.71794266
1028,0.31068838
1029,-0.82118857
1030,0.15001743
1031,-1.0866177
1032,-1.739123
1033,-1.8518579
1034,-1.9493583
1035,-2.2208235
1036,-2.5161078
1037,-2.0317385
1038,-1.277745
1039,-2.957766
1040,-2.4818902
1041,-2.5073693
1042,-3.0204234
1043,-3.635418
1044,-2.8124063
1045,-2.382918
1046,-2.3038116
1047,-2.4887526
1048,-3.1040947
1049,-3.9083002
1050,-4.071023
1051,-3.7451236
1052,-3.9743056
1053,-3.3864765
1054,-2.3646264
1055,-2.8726711
1056,-2.0938222
1057,-2.2529325
1058,-2.3847206
1059,-2.3430443
1060,-3.1305277
1061,-3.7585876
1062,-3.107764
1063,-2.1270409
1064,-2.311952
1065,-2.676192
1066,-2.9624522
1067,-3.4981868
1068,-4.4842305
1069,-4.4720316
1070,-3.4517696
1071,-3.4861155
1072,-3.0859149
1073,-3.6592393
1074,-4.2507052
1075,-3.7870784
1076,-3.5867314
1077,-3.2180371
1078,-2.640855
1079,-2.5785933
1080,-2.2797947
1081,-1.9937557
1082,-1.7494586
1083,-1.9417567
1084,-0.70939046
1085,0.10484855
1086,0.719258
1087,0.5912109
1088,0.881007
1089,0.8851209
1090,-0.13690107
1091,-0.40874553
1092,-0.027376987
1093,0.75214815
1094,1.4011923
1095,1.3548744
1096,1.4445214
1097,1.1729206
1098,1.504377
1099,1.1266752
1100,0.15551607
1101,0.07008625
1102,0.35818937
1103,-0.26214156
1104,-0.0717502
1105,0.36553594
1106,0.114730604
1107,0.1095951
1108,0.10546345
1109,1.3272715
1110,-0.04896967
1111,-0.7914504
1112,-1.0971001
1113,-1.8270148
1114,-2.4234571
1115,-2.207536
1116,-2.1138802
1117,-3.0234923
1118,-3.1396303
1119,-3.7317207
1120,-3.9399443
1121,-3.4959636
1122,-3.0006964
1123,-2.3004296
1124,-2.7717524
1125,-3.3442855
